taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2898841	Palicourea rigida Kunth	2898841	Palicourea rigida Kunth	14	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Palicourea	2898662	Palicourea rigida	2898841	NE
2984476	Cecropia peltata L.	2984476	Cecropia peltata L.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Urticaceae	6639	Cecropia	2984472	Cecropia peltata	2984476	LC
3083298	Eschweilera parviflora (Aubl.) Miers	3083298	Eschweilera parviflora (Aubl.) Miers	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Lecythidaceae	3990	Eschweilera	3083183	Eschweilera parviflora	3083298	LC
3155898	Guatteria pilosula Planch. & Linden ex Triana & Planch.	3155898	Guatteria pilosula Planch. & Linden ex Triana & Planch.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Magnoliales	718	Annonaceae	9291	Guatteria	3155604	Guatteria pilosula	3155898	LC
3157549	Duguetia latifolia R.E.Fr.	3157549	Duguetia latifolia R.E.Fr.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Magnoliales	718	Annonaceae	9291	Duguetia	3157467	Duguetia latifolia	3157549	LC
3189953	Paullinia yoco R.E.Schult. & Killip	3189953	Paullinia yoco R.E.Schult. & Killip	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Paullinia	3189948	Paullinia yoco	3189953	NE
3190638	Mangifera indica L.	3190638	Mangifera indica L.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Mangifera	3075453	Mangifera indica	3190638	DD
3607979	Hymenophyllum consanguineum C.V.Morton	3607979	Hymenophyllum consanguineum C.V.Morton	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Hymenophyllales	7228685	Hymenophyllaceae	2372	Hymenophyllum	2651287	Hymenophyllum consanguineum	3607979	NE
3619807	Malouetia nitida Spruce ex Müll.Arg.	3619807	Malouetia nitida Spruce ex Müll.Arg.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Malouetia	7317134	Malouetia nitida	3619807	NE
3818976	Glossoloma schultzei (Mansf.) J.L.Clark	3818976	Glossoloma schultzei (Mansf.) J.L.Clark	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Gesneriaceae	6654	Glossoloma	8024243	Glossoloma schultzei	3818976	NE
3880108	Laetia cupulata Spruce ex Benth.	9101127	Irenodendron cupulatum (Spruce ex Benth.) M.H.Alford & Dement	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Salicaceae	6664	Irenodendron	9197409	Irenodendron cupulatum	9101127	NE
