Entity,Code,Day,Computation used in training AI systems (petaFLOPs),Year,Domain
6-layer MLP (MNIST),,2010-03-01,0.13,-3593,Vision
ADALINE,,1960-01-01,9.9e-12,-21915,Vision
ADAM (CIFAR-10),,2014-12-22,60,-1836,Vision
ALBERT-xxlarge,,2020-02-09,2500000,39,Language
ALIGN,,2021-06-11,220000000,527,Other
ALVINN,,1989-12-01,0.000081,-10988,Driving
AlexNet,,2012-09-30,470,-2649,Vision
AlphaFold,,2020-01-15,100000,14,Other
AlphaGo Fan,,2015-10-01,380000,-1553,Games
AlphaGo Lee,,2016-01-27,1900000,-1435,Games
AlphaGo Master,,2017-01-01,150000000,-1095,Games
AlphaGo Zero,,2017-10-19,340000000,-804,Games
AlphaStar,,2019-10-30,200000000,-63,Games
AlphaX-1,,2019-10-02,7600,-91,Vision
AlphaZero,,2017-12-05,37000000,-757,Games
AmoebaNet-A,,2018-02-05,390000,-695,Vision
AraGPT2-Mega,,2020-12-31,2000000,365,Language
BERT-Large,,2018-10-11,290000,-447,Language
Back-propagation,,1986-10-09,1.2e-7,-12137,Other
BiLSTM for Speech,,2005-08-01,0.024,-5266,Speech
BigGAN-deep 512x512,,2018-09-28,3000000,-460,Drawing
CLIP (ViT L/14@336px),,2021-01-05,11000000,370,Multimodal
CPM-Large,,2020-12-01,1800000,335,Language
Chinchilla,,2022-03-29,580000000,818,Language
CogView,,2021-05-26,27000000,511,Drawing
Cross-lingual alignment,,2019-04-04,2600,-272,Other
DALL-E,,2021-01-05,47000000,370,Drawing
DLRM-2020,,2019-05-31,4000,-215,Recommendation
DLRM-2021,,2020-01-01,300000,0,Recommendation
DQN,,2013-01-01,2.3,-2556,Games
Decision tree (classification),,2001-12-08,0.063,-6598,Vision
Decoupled weight decay regularization,,2019-01-04,2500,-362,Other
DeepSpeech2,,2015-12-08,26000,-1485,Speech
DeepStack,,2017-01-06,0.15,-1090,Games
Denoising Diffusion Probabilistic Models
 (LSUN Bedroom),,2020-06-19,1600,170,Drawing
Dropout (MNIST),,2012-06-03,6,-2768,Vision
ERNIE 3.0,,2021-07-05,2400,551,Language
Feedforward NN,,2010-05-13,0.35,-3520,Vision
GANs,,2014-06-10,520,-2031,Drawing
GNMT,,2016-09-26,6900000,-1192,Language
GOAT,,2021-07-27,78000000,573,Games
GPT,,2018-06-01,18000,-579,Language
GPT-2,,2019-02-14,1500000,-321,Language
GPT-3 175B,,2020-04-28,310000000,118,Language
GPT-J-6B,,2021-05-01,15000000,486,Language
GPT-Neo,,2021-03-21,7900000,445,Language
GPT-NeoX-20B,,2022-01-01,93000000,731,Language
GPU DBNs,,2009-06-15,1,-3852,Other
GShard (600B),,2020-06-30,13000000,181,Language
GShard (dense),,2020-06-30,26000000,181,Language
GoogLeNet / InceptionV1,,2015-06-07,1600,-1669,Vision
Gopher,,2021-12-08,630000000,707,Language
Hanabi 4 player,,2019-02-01,92,-334,Games
Hide and Seek,,2019-09-17,300,-106,Games
HuBERT,,2021-06-14,5500000,530,Language
HyperClova,,2021-05-25,63000000,510,Language
IMPALA,,2018-02-05,170000,-695,Games
JFT,,2017-08-04,480000,-880,Vision
Jurassic-1-Jumbo,,2021-08-11,370000000,588,Language
KEPLER,,2020-11-23,120000,327,Other
KN5 LM + RNN 400/10 (WSJ),,2010-09-26,61,-3384,Speech
LSTM,,1997-01-01,0.021,-8400,Other
LaMDA,,2022-01-20,360000000,750,Language
LeNet-5,,1998-11-01,0.0028,-7731,Vision
Libratus,,2017-01-01,1100000,-1095,Games
M6-10T,,2021-10-08,5500000,646,Multimodal
MCDNN (MNIST),,2012-02-13,3.7,-2879,Vision
"MSRA (C, PReLU)",,2015-02-06,24000,-1790,Vision
Meena,,2020-01-28,110000000,27,Language
Megatron-BERT,,2019-09-17,57000000,-106,Language
Megatron-LM,,2019-09-17,9100000,-106,Language
Megatron-Turing NLG 530B,,2021-10-11,1400000000,649,Language
Meta Pseudo Labels,,2021-03-01,210000000,425,Other
Mitosis,,2013-09-22,140,-2292,Vision
MnasNet-A1 + SSDLite,,2019-05-29,1500000,-217,Vision
MnasNet-A3,,2019-05-29,1500000,-217,Vision
MoE,,2017-01-23,94000,-1073,Language
NASv3 (CIFAR-10),,2016-11-05,2200000,-1152,Vision
NEO (DL:RM-2022),,2021-01-01,1100000,366,Recommendation
NPLM,,2003-03-15,1.3,-6136,Language
